INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:35:23,376 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2025-03-03 21:35:23,388 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2025-03-03 21:35:23,388 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
INFO 2025-03-03 21:35:23,396 basehttp "GET /static/bootstrap5/bootstrap-icons.woff2 HTTP/1.1" 200 130396
INFO 2025-03-03 21:35:23,650 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:35:23,673 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:35:23,677 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:35:23,678 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
WARNING 2025-03-03 21:35:23,754 log Not Found: /favicon.ico
WARNING 2025-03-03 21:35:23,754 basehttp "GET /favicon.ico HTTP/1.1" 404 15536
INFO 2025-03-03 21:35:25,120 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:26,447 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:27,678 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:28,349 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:32,901 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:34,448 basehttp "GET /formplus/ HTTP/1.1" 200 25097
INFO 2025-03-03 21:35:36,181 basehttp "GET /objection-pub-pick/ HTTP/1.1" 200 26447
INFO 2025-03-03 21:35:37,513 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:41,196 basehttp "POST /manage/logout/ HTTP/1.1" 302 0
INFO 2025-03-03 21:35:41,267 basehttp "GET / HTTP/1.1" 200 4580635
INFO 2025-03-03 21:35:42,279 basehttp "GET /formplus/ HTTP/1.1" 200 15660
INFO 2025-03-03 21:35:43,126 basehttp "GET / HTTP/1.1" 200 4580635
INFO 2025-03-03 21:35:44,104 basehttp "GET /objection-pub-pick/ HTTP/1.1" 200 20069
